Название аптеки;Категория;Название товара;Цена (руб.);Производитель;Ссылка на товар
farmakopeika;Аллергия;Авамис 27,5мкг/доза спрей наз дозир 120доз;930;-;https://farmakopeika.ru/catalog/2615/1276859
farmakopeika;Аллергия;Азеластин-Ксантис 140мкг/доза спрей наз дозир 10мл;451;-;https://farmakopeika.ru/catalog/2615/1339494
farmakopeika;Аллергия;Аква Марис Эктоин Спрей наз 20мл;535;-;https://farmakopeika.ru/catalog/2615/1289047
farmakopeika;Аллергия;Аллервэй 5мг табл п/пл/о №10;281;-;https://farmakopeika.ru/catalog/2618/1288192
farmakopeika;Аллергия;Аллервэй 5мг табл п/пл/о №30;519;-;https://farmakopeika.ru/catalog/2618/1288193
farmakopeika;Аллергия;Аллервэй Экспресс 5мг табл дисперг №10;407;-;https://farmakopeika.ru/catalog/2613/1312271
farmakopeika;Аллергия;Аллергостин 10мг табл п/пл/о №10;175;-;https://farmakopeika.ru/catalog/2618/1339642
farmakopeika;Аллергия;Аллергостин 20мг табл п/пл/о №10;231;-;https://farmakopeika.ru/catalog/2618/1339643
farmakopeika;Аллергия;Бексист-Сановель 120мг табл п/пл/о №20;512;-;https://farmakopeika.ru/catalog/2618/1339420
farmakopeika;Аллергия;Бексист-Сановель 180мг табл п/пл/о №20;724;-;https://farmakopeika.ru/catalog/2618/1339421
farmakopeika;Аллергия;Блогир-3 0,5мг/мл р-р д/пр внутрь 60мл;376;-;https://farmakopeika.ru/catalog/2617/1339043
farmakopeika;Аллергия;Блогир-3 5мг табл д/рассас №10;277;-;https://farmakopeika.ru/catalog/2618/1288082
farmakopeika;Аллергия;Блогир-3 5мг табл д/рассас №30;447;-;https://farmakopeika.ru/catalog/2618/1308167
farmakopeika;Аллергия;Визин Алерджи 0,05% гл капли 4мл фл/кап;522;-;https://farmakopeika.ru/catalog/2614/1291804
farmakopeika;Аллергия;Гидрокортизон 0,5% гл мазь 3г;132;-;https://farmakopeika.ru/catalog/2614/1271429
farmakopeika;Аллергия;Гидрокортизон 0,5% гл мазь 3г;33;-;https://farmakopeika.ru/catalog/2614/1276024
farmakopeika;Аллергия;Дайвонекс 50мкг/г мазь д/нар прим 30г;1248;-;https://farmakopeika.ru/catalog/2616/1273085
farmakopeika;Аллергия;Дезал 0,5мг/мл р-р д/пр внутрь 100мл;413;-;https://farmakopeika.ru/catalog/2617/1333581
farmakopeika;Аллергия;Дезал 5мг табл п/пл/о №10;321;-;https://farmakopeika.ru/catalog/2618/1279327
farmakopeika;Аллергия;Дезал 5мг табл п/пл/о №30;516;-;https://farmakopeika.ru/catalog/2618/1279328
farmakopeika;Аллергия;Дезлоратадин 5мг табл п/пл/о №10;372;-;https://farmakopeika.ru/catalog/2618/1283311
farmakopeika;Аллергия;Дезлоратадин 5мг табл п/пл/о №10;290;-;https://farmakopeika.ru/catalog/2618/1338796
farmakopeika;Аллергия;Дезлоратадин 5мг табл п/пл/о №30;492;-;https://farmakopeika.ru/catalog/2618/1339545
farmakopeika;Аллергия;Дезринит 50мкг/доза спрей наз дозир 140доз/18г;672;-;https://farmakopeika.ru/catalog/2615/1281477
farmakopeika;Аллергия;Дексаметазон 0,1% гл капли 5мл фл/кап;114;-;https://farmakopeika.ru/catalog/2614/1278540
farmakopeika;Аллергия;Диазолин 100мг др №10;40;-;https://farmakopeika.ru/catalog/2618/1284038
farmakopeika;Аллергия;Диазолин 100мг др №10;71;-;https://farmakopeika.ru/catalog/2618/1293187
farmakopeika;Аллергия;Диазолин 100мг табл №10;95;-;https://farmakopeika.ru/catalog/2618/1331913
farmakopeika;Аллергия;Диазолин 50мг др №10;28;-;https://farmakopeika.ru/catalog/2618/1278923
farmakopeika;Аллергия;Диазолин 50мг табл №10;74;-;https://farmakopeika.ru/catalog/2618/1278830
farmakopeika;Аллергия;Димедрол 10мг/мл р-р в/в в/м 1мл амп №10;34;-;https://farmakopeika.ru/catalog/2617/1271221
farmakopeika;Аллергия;Димедрол 10мг/мл р-р в/в в/м 1мл амп №10;35;-;https://farmakopeika.ru/catalog/2613/1312192
farmakopeika;Аллергия;Димедрол 10мг/мл р-р в/в в/м 1мл амп №10;33;-;https://farmakopeika.ru/catalog/2613/1313452
farmakopeika;Аллергия;Димедрол 10мг/мл р-р в/в в/м 1мл амп №10;32;-;https://farmakopeika.ru/catalog/2613/1313453
farmakopeika;Аллергия;Дипросалик мазь д/нар прим 30г;801;-;https://farmakopeika.ru/catalog/2616/1271637
farmakopeika;Аллергия;Зиртек 10мг табл п/пл/о №20;205;-;https://farmakopeika.ru/catalog/2618/1282865
farmakopeika;Аллергия;Зиртек 10мг табл п/пл/о №30;315;-;https://farmakopeika.ru/catalog/2618/1339547
farmakopeika;Аллергия;Зиртек 10мг/мл капли д/пр внутрь 20мл;176;-;https://farmakopeika.ru/catalog/2617/1311538
farmakopeika;Аллергия;Кестин 10мг табл п/пл/о №10;458;-;https://farmakopeika.ru/catalog/2618/1272332
farmakopeika;Аллергия;Кестин 10мг табл п/пл/о №10;450;-;https://farmakopeika.ru/catalog/2618/1327124
farmakopeika;Аллергия;Кестин 20мг табл лиоф №10;626;-;https://farmakopeika.ru/catalog/2616/1280743
farmakopeika;Аллергия;Кестин 20мг табл п/пл/о №10;583;-;https://farmakopeika.ru/catalog/2618/1286423
farmakopeika;Аллергия;Кетотифен 1мг табл №30;96;-;https://farmakopeika.ru/catalog/2618/1293825
farmakopeika;Аллергия;Кларисенс 1мг/мл сироп 100мл;103;-;https://farmakopeika.ru/catalog/2613/1329814
farmakopeika;Аллергия;Кларитин 10мг табл №10;155;-;https://farmakopeika.ru/catalog/2618/1334483
farmakopeika;Аллергия;Кларитин 10мг табл №14;186;-;https://farmakopeika.ru/catalog/2613/1313901
farmakopeika;Аллергия;Кларитин 10мг табл №30;386;-;https://farmakopeika.ru/catalog/2613/1289068
farmakopeika;Аллергия;Кларитин 10мг табл №30;425;-;https://farmakopeika.ru/catalog/2618/1335985
farmakopeika;Аллергия;Клемастин 1мг табл №20;218;-;https://farmakopeika.ru/catalog/2613/1313902
farmakopeika;Аллергия;Кромицил-СОЛОфарм 2% гл капли 10мл фл №1;82;-;https://farmakopeika.ru/catalog/2617/1312280
farmakopeika;Аллергия;Ксизал 5мг табл п/пл/о №10;497;-;https://farmakopeika.ru/catalog/2618/1279363
farmakopeika;Аллергия;Ксизал 5мг табл п/пл/о №7;394;-;https://farmakopeika.ru/catalog/2618/1322081
farmakopeika;Аллергия;Лазин 5мг табл п/пл/о №10;262;-;https://farmakopeika.ru/catalog/2613/1311149
farmakopeika;Аллергия;Левоцетиризин 5мг табл п/пл/о №14;345;-;https://farmakopeika.ru/catalog/2618/1313911
farmakopeika;Аллергия;Левоцетиризин 5мг табл п/пл/о №30;439;-;https://farmakopeika.ru/catalog/2618/1339550
farmakopeika;Аллергия;Лекролин 20мг/мл гл капли 10мл фл/кап №1;105;-;https://farmakopeika.ru/catalog/2614/1271683
farmakopeika;Аллергия;Лоратавел 10мг табл №10;153;-;https://farmakopeika.ru/catalog/2618/1311665
farmakopeika;Аллергия;Лоратадин 10мг табл №10;19;-;https://farmakopeika.ru/catalog/2618/1275084
farmakopeika;Аллергия;Лоратадин 10мг табл №30;51;-;https://farmakopeika.ru/catalog/2618/1274489
farmakopeika;Аллергия;Лоратадин 10мг табл №30;94;-;https://farmakopeika.ru/catalog/2618/1292225
farmakopeika;Аллергия;Лоратадин 5мг/5мл р-р д/пр внутрь 100мл фл №1;73;-;https://farmakopeika.ru/catalog/2613/1313939
farmakopeika;Аллергия;Лоратадин-Акрихин 10мг табл №10;116;-;https://farmakopeika.ru/catalog/2618/1288316
farmakopeika;Аллергия;Лоратадин-Акрихин 10мг табл №30;214;-;https://farmakopeika.ru/catalog/2618/1281465
farmakopeika;Аллергия;ЛОРАТАДИН-ВЕРТЕКС 0,01 N30 ТАБЛ;93;-;https://farmakopeika.ru/catalog/2618/1301207
farmakopeika;Аллергия;Лоратадин-Тева 10мг табл №10;143;-;https://farmakopeika.ru/catalog/2618/1278938
farmakopeika;Аллергия;Лоратадин-Тева 10мг табл №10;145;-;https://farmakopeika.ru/catalog/2618/1330878
farmakopeika;Аллергия;Лоратадин-Эко 1мг/мл сироп 100мл в комп с лож;97;-;https://farmakopeika.ru/catalog/2617/1337668
farmakopeika;Аллергия;Лоратадин-ЭКОлаб 1мг/мл сироп 100мл в комп с лож;97;-;https://farmakopeika.ru/catalog/2617/1338362
farmakopeika;Аллергия;Мезатон 10мг/мл р-р д/и 1мл амп №10;106;-;https://farmakopeika.ru/catalog/2615/1289233
farmakopeika;Аллергия;Момат Рино Адванс 140мкг+50мкг спрей наз дозир 150 доз фл/дозат №1;794;-;https://farmakopeika.ru/catalog/2615/1281909
farmakopeika;Аллергия;Момат Рино Адванс 140мкг+50мкг/доза спрей наз дозир 75доз фл;588;-;https://farmakopeika.ru/catalog/2617/1297989
farmakopeika;Аллергия;Мометазон Сандоз 50мкг/доза спрей наз 18г/140доз фл/доз №1;649;-;https://farmakopeika.ru/catalog/2613/1307126
farmakopeika;Аллергия;Монтрал МЛ 5мг+10мг табл п/пл/о №30;692;-;https://farmakopeika.ru/catalog/2613/1312823
farmakopeika;Аллергия;Назаваль 500мг спрей наз 200доз;310;-;https://farmakopeika.ru/catalog/2615/1275925
farmakopeika;Аллергия;Назаваль Плюс 500мг спрей наз 200доз фл с дозат;386;-;https://farmakopeika.ru/catalog/2615/1277062
farmakopeika;Аллергия;Назарел 50мкг/доза спрей наз 120доз;586;-;https://farmakopeika.ru/catalog/2615/1278889
farmakopeika;Аллергия;Назонекс 50мкг/доза спрей наз 120доз;1027;-;https://farmakopeika.ru/catalog/2615/1289985
farmakopeika;Аллергия;Назонекс 50мкг/доза спрей наз 120доз;1403;-;https://farmakopeika.ru/catalog/2615/1316013
farmakopeika;Аллергия;Назонекс 50мкг/доза спрей наз 60доз;703;-;https://farmakopeika.ru/catalog/2613/1312044
farmakopeika;Аллергия;Назонекс алерджи 50мкг/доза спрей наз 120доз;983;-;https://farmakopeika.ru/catalog/2615/1339241
farmakopeika;Аллергия;Насобек 50мкг/доза спрей наз 200 доз;174;-;https://farmakopeika.ru/catalog/2615/1278331
farmakopeika;Аллергия;Никсар 20мг табл №10;679;-;https://farmakopeika.ru/catalog/2613/1312828
farmakopeika;Аллергия;Никсар 20мг табл №10;648;-;https://farmakopeika.ru/catalog/2618/1315411
farmakopeika;Аллергия;Никсар 20мг табл №30;1519;-;https://farmakopeika.ru/catalog/2613/1312829
farmakopeika;Аллергия;Нозефрин 50мкг/доза спрей наз дозир 18г;577;-;https://farmakopeika.ru/catalog/2615/1286725
farmakopeika;Аллергия;Нозефрин Алерджи 50мкг/доза спрей наз дозир 18г/120доз;577;-;https://farmakopeika.ru/catalog/2615/1339305
farmakopeika;Аллергия;Олоридин 0,1% гл капли 5мл фл/кап;549;-;https://farmakopeika.ru/catalog/2614/1330115
farmakopeika;Аллергия;Опатанол 0,1% гл капли 5мл;634;-;https://farmakopeika.ru/catalog/2614/1274745
farmakopeika;Аллергия;Офтан дексаметазон 0,1% гл капли 5 мл;274;-;https://farmakopeika.ru/catalog/2614/1272004
farmakopeika;Аллергия;Полинадим гл капли 10мл;70;-;https://farmakopeika.ru/catalog/2614/1275159
farmakopeika;Аллергия;Сенсинор 10мг/мл капли д/пр внутрь 20мл;167;-;https://farmakopeika.ru/catalog/2617/1339668
farmakopeika;Аллергия;Синафлан-Акрихин 0,025% мазь д/нар прим 15г;127;-;https://farmakopeika.ru/catalog/2616/1288952
farmakopeika;Аллергия;Супрастин 0,025г №40 таб.;261;-;https://farmakopeika.ru/catalog/2618/1297148
farmakopeika;Аллергия;Супрастин 20мг/мл р-р в/в в/м 1мл амп №5;136;-;https://farmakopeika.ru/catalog/2617/1280390
farmakopeika;Аллергия;Супрастин 25мг табл №20;116;-;https://farmakopeika.ru/catalog/2618/1280400
farmakopeika;Аллергия;Супрастинекс 5мг табл №14;507;-;https://farmakopeika.ru/catalog/2618/1280519
farmakopeika;Аллергия;Лоратадин 5мг/5мл р-р д/пр внутрь 100мл фл №1;73;-;https://farmakopeika.ru/catalog/2613/1313939
farmakopeika;Аллергия;Лоратадин-Акрихин 10мг табл №10;116;-;https://farmakopeika.ru/catalog/2618/1288316
farmakopeika;Аллергия;Лоратадин-Акрихин 10мг табл №30;214;-;https://farmakopeika.ru/catalog/2618/1281465
farmakopeika;Аллергия;ЛОРАТАДИН-ВЕРТЕКС 0,01 N30 ТАБЛ;93;-;https://farmakopeika.ru/catalog/2618/1301207
farmakopeika;Аллергия;Лоратадин-Тева 10мг табл №10;143;-;https://farmakopeika.ru/catalog/2618/1278938
farmakopeika;Аллергия;Лоратадин-Тева 10мг табл №10;145;-;https://farmakopeika.ru/catalog/2618/1330878
farmakopeika;Аллергия;Лоратадин-Эко 1мг/мл сироп 100мл в комп с лож;97;-;https://farmakopeika.ru/catalog/2617/1337668
farmakopeika;Аллергия;Лоратадин-ЭКОлаб 1мг/мл сироп 100мл в комп с лож;97;-;https://farmakopeika.ru/catalog/2617/1338362
farmakopeika;Аллергия;Мезатон 10мг/мл р-р д/и 1мл амп №10;106;-;https://farmakopeika.ru/catalog/2615/1289233
farmakopeika;Аллергия;Момат Рино Адванс 140мкг+50мкг спрей наз дозир 150 доз фл/дозат №1;794;-;https://farmakopeika.ru/catalog/2615/1281909
farmakopeika;Аллергия;Момат Рино Адванс 140мкг+50мкг/доза спрей наз дозир 75доз фл;588;-;https://farmakopeika.ru/catalog/2617/1297989
farmakopeika;Аллергия;Мометазон Сандоз 50мкг/доза спрей наз 18г/140доз фл/доз №1;649;-;https://farmakopeika.ru/catalog/2613/1307126
farmakopeika;Аллергия;Нозефрин 50мкг/доза спрей наз дозир 18г;577;-;https://farmakopeika.ru/catalog/2615/1286725
farmakopeika;Аллергия;Нозефрин Алерджи 50мкг/доза спрей наз дозир 18г/120доз;577;-;https://farmakopeika.ru/catalog/2615/1339305
farmakopeika;Аллергия;Олоридин 0,1% гл капли 5мл фл/кап;549;-;https://farmakopeika.ru/catalog/2614/1330115
farmakopeika;Аллергия;Опатанол 0,1% гл капли 5мл;634;-;https://farmakopeika.ru/catalog/2614/1274745
farmakopeika;Аллергия;Офтан дексаметазон 0,1% гл капли 5 мл;274;-;https://farmakopeika.ru/catalog/2614/1272004
farmakopeika;Аллергия;Полинадим гл капли 10мл;70;-;https://farmakopeika.ru/catalog/2614/1275159
farmakopeika;Аллергия;Сенсинор 10мг/мл капли д/пр внутрь 20мл;167;-;https://farmakopeika.ru/catalog/2617/1339668
farmakopeika;Аллергия;Синафлан-Акрихин 0,025% мазь д/нар прим 15г;127;-;https://farmakopeika.ru/catalog/2616/1288952
farmakopeika;Аллергия;Супрастин 0,025г №40 таб.;261;-;https://farmakopeika.ru/catalog/2618/1297148
farmakopeika;Аллергия;Супрастин 20мг/мл р-р в/в в/м 1мл амп №5;136;-;https://farmakopeika.ru/catalog/2617/1280390
farmakopeika;Аллергия;Супрастин 25мг табл №20;116;-;https://farmakopeika.ru/catalog/2618/1280400
farmakopeika;Аллергия;Супрастинекс 5мг табл №14;507;-;https://farmakopeika.ru/catalog/2618/1280519
farmakopeika;Аллергия;Супрастинекс 5мг табл №7;261;-;https://farmakopeika.ru/catalog/2618/1280520
farmakopeika;Аллергия;Супрастинекс 5мг/мл капли д/пр внутрь 20мл;399;-;https://farmakopeika.ru/catalog/2617/1280574
farmakopeika;Аллергия;Суприламин 25мг табл №20;133;-;https://farmakopeika.ru/catalog/2618/1311715
farmakopeika;Аллергия;Тавегил 1мг табл №20;319;-;https://farmakopeika.ru/catalog/2618/1325962
farmakopeika;Аллергия;Тафен назаль 50мкг/доза спрей наз 200доз;356;-;https://farmakopeika.ru/catalog/2615/1273515
farmakopeika;Аллергия;Теоритин МФ 4мг табл №10;503;-;https://farmakopeika.ru/catalog/2616/1330637
farmakopeika;Аллергия;Тизин Алерджи 50мкг/доза спрей наз 10мл фл п/э;449;-;https://farmakopeika.ru/catalog/2615/1279446
farmakopeika;Аллергия;Трамицент 1,25% спрей наз 15мл;420;-;https://farmakopeika.ru/catalog/2440/1312242
farmakopeika;Аллергия;Фексадин 120мг табл п/пл/о №10;425;-;https://farmakopeika.ru/catalog/2618/1272670
farmakopeika;Аллергия;Фексадин 180мг табл п/пл/о №10;547;-;https://farmakopeika.ru/catalog/2618/1290129
farmakopeika;Аллергия;Фексофаст 180мг табл п/о №10;371;-;https://farmakopeika.ru/catalog/2618/1271828
farmakopeika;Аллергия;Фенистил 0,1% капли д/пр внутрь 20мл;533;-;https://farmakopeika.ru/catalog/2617/1271911
farmakopeika;Кровь, кровообращение;L-карнитин табл быстрораств №17 Консумед;499;-;https://farmakopeika.ru/catalog/2503/1290675
farmakopeika;Кровь, кровообращение;Адреналин-СОЛОфарм 1мг/мл р-р д/и 1мл амп №5;66;-;https://farmakopeika.ru/catalog/2510/1294118
farmakopeika;Кровь, кровообращение;Акримекс 125мг табл п/пл/о №50;270;-;https://farmakopeika.ru/catalog/2503/1314015
farmakopeika;Кровь, кровообращение;Аксамон 15мг/мл р-р в/м п/к 1мл амп №10;1700;-;https://farmakopeika.ru/catalog/2510/1279461
farmakopeika;Кровь, кровообращение;Аксамон 20мг табл №50;1193;-;https://farmakopeika.ru/catalog/2510/1281596
farmakopeika;Кровь, кровообращение;Аксамон 5мг/мл р-р в/м п/к 1мл амп №10;971;-;https://farmakopeika.ru/catalog/2510/1279580
farmakopeika;Кровь, кровообращение;Актовегин 200мг табл п/о №50;1466;-;https://farmakopeika.ru/catalog/2503/1312056
farmakopeika;Кровь, кровообращение;Актовегин 40мг/мл р-р д/и 2мл амп №25;1600;-;https://farmakopeika.ru/catalog/2503/1331067
farmakopeika;Кровь, кровообращение;Аллапинин 25мг табл №30;589;-;https://farmakopeika.ru/catalog/2503/1272185
farmakopeika;Кровь, кровообращение;Аллопуринол 100мг табл №50;137;-;https://farmakopeika.ru/catalog/2506/1315354
farmakopeika;Кровь, кровообращение;Аллопуринол 300мг табл №30;172;-;https://farmakopeika.ru/catalog/2511/1283253
farmakopeika;Кровь, кровообращение;Альбарел 1мг табл №30;974;-;https://farmakopeika.ru/catalog/2503/1272232
farmakopeika;Кровь, кровообращение;Аминокапроновая кислота 50мг/мл р-р д/инф 100мл фл №1 инд/уп;77;-;https://farmakopeika.ru/catalog/2503/1334498
farmakopeika;Кровь, кровообращение;Амиодарон 200мг табл №30;147;-;https://farmakopeika.ru/catalog/2510/1271487
farmakopeika;Кровь, кровообращение;Амиодарон 200мг табл №30;175;-;https://farmakopeika.ru/catalog/2510/1289143
farmakopeika;Кровь, кровообращение;Амиодарон 200мг табл №30;195;-;https://farmakopeika.ru/catalog/2510/1296435
farmakopeika;Кровь, кровообращение;Амиодарон 50мг/мл конц-т д/приг р-ра в/в 3мл амп №10;257;-;https://farmakopeika.ru/catalog/2510/1291751
farmakopeika;Кровь, кровообращение;Амлодивел 10мг табл №30 Велфарм;155;-;https://farmakopeika.ru/catalog/2503/1310044
farmakopeika;Кровь, кровообращение;Амлодивел 5мг табл №30 Велфарм;99;-;https://farmakopeika.ru/catalog/2503/1310045
farmakopeika;Кровь, кровообращение;Амлодипин 10мг табл №20;90;-;https://farmakopeika.ru/catalog/2510/1280631
farmakopeika;Кровь, кровообращение;Амлодипин 10мг табл №30;41;-;https://farmakopeika.ru/catalog/2510/1303823
farmakopeika;Кровь, кровообращение;Амлодипин 10мг табл №60;165;-;https://farmakopeika.ru/catalog/2510/1278525
farmakopeika;Кровь, кровообращение;Амлодипин 10мг табл №90;197;-;https://farmakopeika.ru/catalog/2510/1278524
farmakopeika;Кровь, кровообращение;Амлодипин 10мг табл №90;245;-;https://farmakopeika.ru/catalog/2503/1329834
farmakopeika;Кровь, кровообращение;Амлодипин 5мг табл №20;88;-;https://farmakopeika.ru/catalog/2510/1279815
farmakopeika;Кровь, кровообращение;Амлодипин 5мг табл №30;96;-;https://farmakopeika.ru/catalog/2510/1274989
farmakopeika;Кровь, кровообращение;Амлодипин 5мг табл №60;102;-;https://farmakopeika.ru/catalog/2510/1303824
farmakopeika;Кровь, кровообращение;Амлодипин 5мг табл №90;149;-;https://farmakopeika.ru/catalog/2510/1278527
farmakopeika;Кровь, кровообращение;Амлодипин Реневал 10мг табл №30;71;-;https://farmakopeika.ru/catalog/2503/1339705
farmakopeika;Кровь, кровообращение;Амлодипин Реневал 10мг табл №90;265;-;https://farmakopeika.ru/catalog/2503/1314006
farmakopeika;Кровь, кровообращение;Амлодипин Реневал 5мг табл №90;141;-;https://farmakopeika.ru/catalog/2503/1314011
farmakopeika;Кровь, кровообращение;Амлодипин-АКОС 10мг табл №30;124;-;https://farmakopeika.ru/catalog/2510/1334718
farmakopeika;Кровь, кровообращение;Амлодипин-Алиум 10мг табл №30;150;-;https://farmakopeika.ru/catalog/2503/1314198
farmakopeika;Кровь, кровообращение;Амлодипин-ВЕРТЕКС 10мг табл №20;90;-;https://farmakopeika.ru/catalog/2510/1336156
farmakopeika;Кровь, кровообращение;Амлодипин-ВЕРТЕКС 10мг табл №30;94;-;https://farmakopeika.ru/catalog/2503/1290965
farmakopeika;Кровь, кровообращение;Амлодипин-ВЕРТЕКС 10мг табл №60;166;-;https://farmakopeika.ru/catalog/2510/1339078
farmakopeika;Кровь, кровообращение;Амлодипин-ВЕРТЕКС 5мг табл №30;63;-;https://farmakopeika.ru/catalog/2503/1276790
farmakopeika;Кровь, кровообращение;Амлодипин-ВЕРТЕКС 5мг табл №60;119;-;https://farmakopeika.ru/catalog/2503/1290968
farmakopeika;Кровь, кровообращение;Амлодипин-Прана 10мг табл №30;71;-;https://farmakopeika.ru/catalog/2503/1279989
farmakopeika;Кровь, кровообращение;Амлодипин-Прана 5мг табл №30;49;-;https://farmakopeika.ru/catalog/2503/1280483
farmakopeika;Кровь, кровообращение;Амлодипин-Тева 10мг табл №30;162;-;https://farmakopeika.ru/catalog/2503/1289447
farmakopeika;Кровь, кровообращение;Амлодипин-Тева 5мг табл №30;143;-;https://farmakopeika.ru/catalog/2503/1288843
farmakopeika;Кровь, кровообращение;Амлодипин+Валсартан 10мг+160мг табл п/пл/о №30;468;-;https://farmakopeika.ru/catalog/2510/1339417
farmakopeika;Кровь, кровообращение;Амлодипин+Валсартан 10мг+160мг табл п/пл/о №90;894;-;https://farmakopeika.ru/catalog/2510/1339344
farmakopeika;Кровь, кровообращение;Амлодипин+Валсартан 5мг+160мг табл п/пл/о №30;519;-;https://farmakopeika.ru/catalog/2510/1332055
farmakopeika;Кровь, кровообращение;Амлодипин+Валсартан 5мг+160мг табл п/пл/о №90;847;-;https://farmakopeika.ru/catalog/2510/1339345
